man buys car.
man buys sofa.
man buys coach.
man buys notebook.
man purchases car.
man purchases sofa.
man purchases coach.
man purchases notebook.
man steals car.
man steals sofa.
man steals coach.
man steals notebook.
man breaks car.
man breaks sofa.
man breaks coach.
man breaks notebook.
woman buys car.
woman buys sofa.
woman buys coach.
woman buys notebook.
woman purchases car.
woman purchases sofa.
woman purchases coach.
woman purchases notebook.
woman steals car.
woman steals sofa.
woman steals coach.
woman steals notebook.
woman breaks car.
woman breaks sofa.
woman breaks coach.
woman breaks notebook.
man buys old car.
man buys old sofa.
man buys old coach.
man buys old notebook.
man buys new car.
man buys new sofa.
man buys new coach.
man buys new notebook.
man buys red car.
man buys red sofa.
man buys red coach.
man buys red notebook.
man buys blue car.
man buys blue sofa.
man buys blue coach.
man buys blue notebook.
man purchases old car.
man purchases old sofa.
man purchases old coach.
man purchases old notebook.
man purchases new car.
man purchases new sofa.
man purchases new coach.
man purchases new notebook.
man purchases red car.
man purchases red sofa.
man purchases red coach.
man purchases red notebook.
man purchases blue car.
man purchases blue sofa.
man purchases blue coach.
man purchases blue notebook.
man steals old car.
man steals old sofa.
man steals old coach.
man steals old notebook.
man steals new car.
man steals new sofa.
man steals new coach.
man steals new notebook.
man steals red car.
man steals red sofa.
man steals red coach.
man steals red notebook.
man steals blue car.
man steals blue sofa.
man steals blue coach.
man steals blue notebook.
man breaks old car.
man breaks old sofa.
man breaks old coach.
man breaks old notebook.
man breaks new car.
man breaks new sofa.
man breaks new coach.
man breaks new notebook.
man breaks red car.
man breaks red sofa.
man breaks red coach.
man breaks red notebook.
man breaks blue car.
man breaks blue sofa.
man breaks blue coach.
man breaks blue notebook.
woman buys old car.
woman buys old sofa.
woman buys old coach.
woman buys old notebook.
woman buys new car.
woman buys new sofa.
woman buys new coach.
woman buys new notebook.
woman buys red car.
woman buys red sofa.
woman buys red coach.
woman buys red notebook.
woman buys blue car.
woman buys blue sofa.
woman buys blue coach.
woman buys blue notebook.
woman purchases old car.
woman purchases old sofa.
woman purchases old coach.
woman purchases old notebook.
woman purchases new car.
woman purchases new sofa.
woman purchases new coach.
woman purchases new notebook.
woman purchases red car.
woman purchases red sofa.
woman purchases red coach.
woman purchases red notebook.
woman purchases blue car.
woman purchases blue sofa.
woman purchases blue coach.
woman purchases blue notebook.
woman steals old car.
woman steals old sofa.
woman steals old coach.
woman steals old notebook.
woman steals new car.
woman steals new sofa.
woman steals new coach.
woman steals new notebook.
woman steals red car.
woman steals red sofa.
woman steals red coach.
woman steals red notebook.
woman steals blue car.
woman steals blue sofa.
woman steals blue coach.
woman steals blue notebook.
woman breaks old car.
woman breaks old sofa.
woman breaks old coach.
woman breaks old notebook.
woman breaks new car.
woman breaks new sofa.
woman breaks new coach.
woman breaks new notebook.
woman breaks red car.
woman breaks red sofa.
woman breaks red coach.
woman breaks red notebook.
woman breaks blue car.
woman breaks blue sofa.
woman breaks blue coach.
woman breaks blue notebook.
