###English###
man steals car.
man breaks car.
man breaks sofa.
woman steals notebook.
man buys new car.
man buys red notebook.
man buys blue notebook.
man steals old car.
man steals old sofa.
man steals new car.
man steals new notebook.
man steals red notebook.
man steals blue notebook.
man breaks old notebook.
man breaks new notebook.
man breaks red notebook.
man breaks red car.
man breaks blue notebook.
woman buys old car.
woman buys new car.
woman buys new notebook.
woman buys red car.
woman buys red sofa.
woman buys red notebook.
woman buys blue notebook.
woman steals old notebook.
woman steals new car.
woman steals red sofa.
woman steals blue sofa.
woman steals blue notebook.
woman breaks old car.
woman breaks old sofa.
woman breaks old notebook.
woman breaks new car.
woman breaks red notebook.
woman breaks blue car.
woman breaks blue sofa.
###Spanish###
mujer roba cuaderno.
hombre rompe coche.
mujer compra coche viejo.
mujer compra coche rojo.
mujer compra cuaderno rojo.
mujer roba coche nuevo.
mujer roba sillon rojo.
mujer roba sillon azul.
mujer rompe coche viejo.
mujer rompe cuaderno rojo.
mujer rompe sillon azul.
hombre compra coche rojo.
hombre compra sillon rojo.
hombre compra cuaderno rojo.
hombre roba coche nuevo.
hombre roba cuaderno nuevo.
hombre roba sillon azul.
hombre roba cuaderno azul.
hombre rompe cuaderno viejo.
hombre rompe sillon nuevo.
hombre rompe cuaderno nuevo.
hombre rompe coche rojo.
hombre rompe sillon rojo.
hombre rompe cuaderno rojo.
hombre rompe cuaderno azul.
