morose woman cries._int_1
morose woman shouts._int_1
morose man cries._int_1
morose man shouts._int_1
morose kid cries._int_1
morose kid shouts._int_1
cheerful woman cries._int_0
cheerful woman laughs._int_0
cheerful woman shouts._int_0
cheerful man cries._int_0
cheerful man shouts._int_0
cheerful man laughs._int_0
cheerful kid cries._int_0
cheerful kid shouts._int_0
cheerful kid laughs._int_0
joyful woman cries._int_0
joyful woman shouts._int_0
joyful woman laughs._int_0
joyful man cries._int_0
joyful man shouts._int_0
joyful man laughs._int_0
joyful kid cries._int_0
joyful kid shouts._int_0
joyful kid laughs._int_0
gloomy woman cries._int_1
gloomy woman shouts._int_1
gloomy man cries._int_1
gloomy man shouts._int_1
gloomy kid cries._int_1
gloomy kid shouts._int_1
woman grieves woman._tra_1
woman grieves man._tra_1
woman grieves kid._tra_1
woman entertains woman._tra_0
woman entertains man._tra_0
woman entertains kid._tra_0
man grieves woman._tra_1
man grieves man._tra_1
man grieves kid._tra_1
man entertains woman._tra_0
man entertains man._tra_0
man entertains kid._tra_0
kid grieves woman._tra_1
kid grieves man._tra_1
kid grieves kid._tra_1
kid entertains woman._tra_0
kid entertains man._tra_0
kid entertains kid._tra_0
morose woman grieves woman._tra_1
morose woman grieves man._tra_1
morose woman grieves kid._tra_1
morose man grieves woman._tra_1
morose man grieves man._tra_1
morose man grieves kid._tra_1
morose kid grieves woman._tra_1
morose kid grieves man._tra_1
morose kid grieves kid._tra_1
cheerful woman entertains woman._tra_0
cheerful woman entertains man._tra_0
cheerful woman entertains kid._tra_0
cheerful man entertains woman._tra_0
cheerful man entertains man._tra_0
cheerful man entertains kid._tra_0
cheerful kid entertains woman._tra_0
cheerful kid entertains man._tra_0
cheerful kid entertains kid._tra_0
joyful woman entertains woman._tra_0
joyful woman entertains man._tra_0
joyful woman entertains kid._tra_0
joyful man entertains woman._tra_0
joyful man entertains man._tra_0
joyful man entertains kid._tra_0
joyful kid entertains woman._tra_0
joyful kid entertains man._tra_0
joyful kid entertains kid._tra_0
gloomy woman grieves woman._tra_1
gloomy woman grieves man._tra_1
gloomy woman grieves kid._tra_1
gloomy man grieves woman._tra_1
gloomy man grieves man._tra_1
gloomy man grieves kid._tra_1
gloomy kid grieves woman._tra_1
gloomy kid grieves man._tra_1
gloomy kid grieves kid._tra_1
old woman grieves woman._tra_1
old woman grieves man._tra_1
